OBJECTID,ADDRESSBLO,ADDRESSBUI,ADDRESSPOS,ADDRESSSTR,LATITUDE,LONGITUDE
11457,280,TOH GUAN VIEW,600280,TOH GUAN ROAD,1.3404641919504987,103.74729383594763
11458,281,TOH GUAN VIEW,600281,TOH GUAN ROAD,1.339894779799819,103.7464146048379
11459,273,TOH GUAN VIEW,600273,TOH GUAN ROAD,1.3426612737752754,103.74531060647993
11460,277,TOH GUAN VIEW,600277,TOH GUAN ROAD,1.3413182508340689,103.74672539578704
11461,37,HDB-BUKIT MERAH,90037,TELOK BLANGAH RISE,1.2726718978248608,103.82287533317182
11462,80A,TELOK BLANGAH TOWERS,101080,TELOK BLANGAH STREET 31,1.2736810805924794,103.80657908214218
11463,80B,TELOK BLANGAH TOWERS,102080,TELOK BLANGAH STREET 31,1.2734761774228225,103.80680998005867
11464,80C,TELOK BLANGAH TOWERS,103080,TELOK BLANGAH STREET 31,1.2734936938496664,103.80722903803454
11465,80D,TELOK BLANGAH TOWERS,104080,TELOK BLANGAH STREET 31,1.273907366365462,103.80729173100389
11466,309B,TECK GHEE VISTA,563309,ANG MO KIO STREET 31,1.3647157259008054,103.84611036395275
11467,6A,MULTI STOREY CAR PARK,261006,FARRER ROAD,1.3168707156785637,103.80747566965337
11468,208A,MULTI STOREY CAR PARK,461208,NEW UPPER CHANGI ROAD,1.3251902533331255,103.93086635862892
11469,512A,MULTI STOREY CAR PARK,551512,SERANGOON NORTH AVENUE 4,1.370959755764096,103.87510566140462
11470,468,MEADOW SPRING @ YISHUN,760468,YISHUN STREET 43,1.4247732816474727,103.85179222756413
11471,528,WOODLANDS VISTA,730528,WOODLANDS DRIVE 14,1.4314885999718823,103.7925580899954
11472,519,FRAGRANT WOODS,730519,WOODLANDS DRIVE 14,1.4345878567210915,103.7919623378089
11473,633,HDB-WOODLANDS,730633,WOODLANDS RING ROAD,1.4355875050227898,103.80236725416361
11474,628B,HDB-WOODLANDS,732628,WOODLANDS RING ROAD,1.434127033608633,103.80061673487451
11475,635,HDB-WOODLANDS,730635,WOODLANDS RING ROAD,1.4364963814279978,103.8023002651038
11476,653,HDB-WOODLANDS,730653,WOODLANDS RING ROAD,1.438080747790818,103.79903200953183
11477,637,HDB-WOODLANDS,730637,WOODLANDS RING ROAD,1.4374265402280593,103.8026329819942
11478,663,HDB-WOODLANDS,730663,WOODLANDS RING ROAD,1.4362202417178902,103.79840993061842
11479,646,HDB-WOODLANDS,730646,WOODLANDS RING ROAD,1.4376061445053292,103.80040201170544
11480,66,BLANGAH VIEW,100066,TELOK BLANGAH DRIVE,1.2741323073660549,103.80963232304887
11481,47,BLANGAH COURT,100047,TELOK BLANGAH DRIVE,1.2720436121090921,103.81009662871708
11482,357,HDB-TAMPINES,520357,TAMPINES STREET 33,1.354018873566002,103.96159951233896
11483,353,HDB-TAMPINES,520353,TAMPINES STREET 33,1.3545120641830999,103.96302829290897
11484,354,HDB-TAMPINES,520354,TAMPINES STREET 33,1.3550171190305178,103.96243413538421
11485,348,HDB-TAMPINES,520348,TAMPINES STREET 33,1.352524922820873,103.96336660272343
11486,320,HDB-TAMPINES,520320,TAMPINES STREET 33,1.3507011363671553,103.95705153984456
11487,138,,680138,TECK WHYE LANE,1.3802401747974031,103.75243544091154
11488,13,TECK WHYE HEIGHTS II,680013,TECK WHYE LANE,1.3789456802873528,103.75584760856863
